episode,#,question,answer,filename
2018.11.04 Slagalica.mp4,,,,
,1,КАКВА СУ ПРЕМА ПОСЛОВИЦИ ДЕЦА ТАМО ГДЕ ЈЕ МНОГО БАБИЦА?,КИЛАВА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,2,ПОД КОЈИМ ПСЕУДОНИМОМ СЕ ПРОСЛАВИО ЧИЛЕАНСКИ ПЕСНИК И НОБЕЛОВАЦ РИКАРДО НЕФТАЛИ РЕЈЕС БАСОАЛТО?,ПАБЛО НЕРУДА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,3,У КОЈОЈ ДРЖАВИ СЕ НАЛАЗИ ЛЕТОВАЛИШТЕ СУНЧЕВ БРЕГ?,У БУГАРСКОЈ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,4,КАКО СЕ ЗОВЕ РОДНО СЕЛО КАРАЂОРЂА ПЕТРОВИЋА?,ВИШЕВАЦ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,5,КОЈА ЈЕ ЗВАНИЧНА ВАЛУТА У ЛИХТЕНШТАЈНУ?,ШВАЈЦАРСКИ ФРАНАК,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,6,КОЈИ ЖЕНСКИ ОРГАН СЕ НА ЛАТИНСКОМ ЗОВЕ УТЕРУС?,МАТЕРИЦА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,7,"КО ЈЕ ГЛУМИО ПРОТАГОНИСТУ СЕРИЈЕ ""СРЕЋНИ ЉУДИ"" ВУКАШИНА ГОЛУБОВИЋА?",ДЕСИМИР СТАНОЈЕВИЋ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,8,"ПОД КОЈИМ НАДИМКОМ ЈЕ ПОЗНАТИЈИ РЕГЕ МУЗИЧАР ДЕЈВИД НЕСТА МАРЛИ, СИН БОБА МАРЛИЈА?",ЗИГИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,9,КОЈУ РЕЧ ИТАЛИЈАНСКОГ ПОРЕКЛА КОРИСТИМО ЗА ПЕЧЕНУ ГЛИНУ?,ТЕРАКОТА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
,10,КОЈА ТЕНИСЕРКА ЈЕ ОСВОЈИВШИ ЈУ-ЕС ОПЕН 2018. ПОСТАЛА ПРВА ЈАПАНКА СА ГРЕНД СЛЕМ ТИТУЛОМ У СИНГЛУ?,НАОМИ ОСАКА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.04 Slagalica.mp4
2018.11.05 Slagalica.mp4,,,,
,1,КОЈИ ЈЕ РИМСКИ ПАНДАН ГРЧКОМ ВРХОВНОМ БОГУ ЗЕВСУ?,ЈУПИТЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,2,"УБЕГ У АФРИКУ"" ЈЕ ДРУГИ НАСТАВАК КОГ АНИМИРАНОГ ФИЛМА?",МАДАГАСКАР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,3,"КОЈЕ ПОВРЋЕ КОД НАС ИМА НЕМАЧКИ НАЗИВ КОЈИ ПОТИЧЕ ОД ГРЧКОГ ""АСПАРАГУС"" ИЛИ ""АСПАРАГОС""?",ШПАРГЛА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,4,КОМ УМЕТНИЧКОМ ПРАВЦУ СУ ПРИПАДАЛИ КАРАВАЂО И РЕМБРАНТ?,БАРОКУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,5,КАКО СЕ НАЗИВА НАЈДУЖА СТРАНИЦА ПРАВОУГЛОГ ТРОУГЛА?,ХИПОТЕНУЗА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,6,КОЈА ГОДИНА ПРВОГ ВЕКА Н. Е. ЈЕ У СТАРОМ РИМУ ЗАПАМЋЕНА КАО ГОДИНА ЧЕТИРИ ЦАРА?,69.,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,7,КАКО СЕ ЗОВУ ПОЛИНЕЖАНСКИ СТАРОСЕДЕОЦИ НОВОГ ЗЕЛАНДА?,МАОРИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,8,"КОЈИ ФИКТИВНИ ДЕТЕКТИВ ЈЕ ГЛАВНИ ЈУНАК ТВ СЕРИЈЕ ""ЕЛЕМЕНТАРНО""?",ШЕРЛОК ХОЛМС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,9,КОЈИ НАСЛОВ ОД ЈЕДНЕ РЕЧИ ИМА ЈЕДИНА ОПЕРА ЛУДВИГА ВАН БЕТОВЕНА?,ФИДЕЛИО,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
,10,"СКАКАЧКЕ ДИСЦИПЛИНЕ У АТЛЕТИЦИ СУ: СКОК УДАЉ, СКОК УВИС, СКОК МОТКОМ И...?",ТРОСКОК,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.05 Slagalica.mp4
2018.11.06 Slagalica.mp4,,,,
,1,НА КОМ БРДУ ПОРЕД ТОПОЛЕ СЕ НАЛАЗИ МАУЗОЛЕЈ ДИНАСТИЈЕ КАРАЂОРЂЕВИЋА?,НА ОПЛЕНЦУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,2,МЕДЕЉИН ЈЕ ДРУГИ НАЈВЕЋИ ГРАД КОЈЕ ДРЖАВЕ?,КОЛУМБИЈЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,3,КАКО СЕ ЗОВЕ ПЕВАЧ И ФРОНТМЕН РОЛИНГСТОНСА?,МИК ЏЕГЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,4,ПОД КОЈИМ АБОРИЏИНСКИМ НАЗИВОМ ЈЕ ПОЗНАТ АУСТРАЛИЈСКИ ДИВЉИ ПАС?,ДИНГОО,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,5,"КОЈИ НАШ СЛИКАР ЈЕ НАСЛИКАО АУТОПОРТРЕТ СА НАТПИСОМ ""НЕ, ХВАЛА!""?",МИОДРАГ МИЋА ПОПОВИЋ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,6,У КОМ ВЕКУ СЕ ОДИГРАО РАТ ЗА ШПАНСКО НАСЛЕЋЂЕ?,У ОСАМНАЕСТОМ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,7,КАКО СЕ СТРУЧНО НАЗИВА МЕРЕЊЕ ЗАПРЕМИНЕ И КАПАЦИТЕТА ПЛУЋА?,СПИРОМЕТРИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,8,"КО ЈЕ ДОВРШИО ДЕЛО ""КАПИТАЛ"" НАКОН СМРТИ КАРЛА МАРКСА?",ФРИДРИХ ЕНГЕЛС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,9,КОЈИ ФИЛМ ЖЕЛИМИРА ЖИЛНИКА ЈЕ НАГРАЂЕН ЗЛАТНИМ МЕДВЕДОМ У БЕРЛИНУ?,РАНИ РАДОВИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
,10,КО ЈЕ НАЈБОЉИ СТРЕЛАЦ У ИСТОРИЈИ СВЕТСКИХ ПРВЕНСТАВА У ФУДБАЛУ?,МИРОСЛАВ КЛОЗЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.06 Slagalica.mp4
2018.11.07 Slagalica.mp4,,,,
