episode,#,question,answer,filename
2019.11.02 Slagalica.mp4,,,,
,1,"АКО ЈЕ МОСКВА ПОЧЕТНА СТАНИЦА, КОЈИ РУСКИ ГРАД ПРЕДСТАВЉА КРАЈЊУ СТАНИЦУ ТРАНССИБИРСКЕ ЖЕЛЕЗНИЦЕ?",ВЛАДИВОСТОК,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,2,КОЈИМ ПРЕЗИМЕНОМ ЈЕ НАЗВАНА СРПСКА ТВ СЕРИЈА СНИМЉЕНА ПО УГЛЕДУ НА ШПАНСКУ СЕРИЈУ „СЕРАНОВИ“?,СИНЂЕЛИЋИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,3,КОЈА ФРАНЦУСКА ПОСЛАСТИЦА С КАРАМЕЛИЗОВАНИМ ШЕЋЕРОМ СЕ У ПРЕВОДУ НА СРПСКИ ЗОВЕ „ЗАПЕЧЕНИ КРЕМ“?,КРЕМ БРУЛЕ / КРЕМ БРИЛЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,4,ТОКОМ КОГ РАТНОГ СУКОБА СЕ ОДВИЈА РАДЊА РЕМАРКОВОГ РОМАНА „НА ЗАПАДУ НИШТА НОВО“?,ТОКОМ ПРВОГ СВЕТСКОГ РАТА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,5,ЕЛЕКТРАНА У КОЈОЈ СЕ ДОГОДИЛА ХАВАРИЈА УСЛЕД ЗЕМЉОТРЕСА И ЦУНАМИЈА 2011. ГОДИНЕ?,ФУКУШИМА /ФУКУШИМА ДАИЧИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,6,"ПОСЛЕДЊИ МОНАРХ АУСТРОУГАРСКЕ ВЛАДАО ЈЕ ОД 1916. ДО 1918. ГОДИНЕ И ЗВАО СЕ ФРИДРИХ, ВИЛХЕЛМ ИЛИ КАРЛ?",КАРЛ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,7,КОЈИ БЕНД ЈЕ НАСТАО 1981. ГОДИНЕ КАДА СЕ ПЕВАЧ И ГИТАРИСТА ЏЕЈМС ХЕТФИЛД ЈАВИО НА НОВИНСКИ ОГЛАС БУБЊАРА ЛАРСА УЛРИХА?,МЕТАЛИКА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,8,"АРХИТЕКТОНСКОМ СТИЛУ СУ ГРАЂЕНЕ ЦРКВЕ МАНАСТИРА КАЛЕНИЋ, ЉУБОСТИЊА И РАВАНИЦА?",У МОРАВСКОМ СТИЛУ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,9,"ХИПОКРАТОВА ПОДЕЛА НА ЧЕТИРИ ГЛАВНА ТИПА ЛИЧНОСТИ ОБУХВАТА САНГВИНИКЕ, КОЛЕРИКЕ, ФЛЕГМАТИКЕ И КОЈИ ЈОШ ТИП?",МЕЛАНХОЛИКЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
,10,КОЈУ МЕДАЉУ СУ ОСВОЈИЛЕ КОШАРКАШИЦЕ СРБИЈЕ НА ЕВРОПСКОМ ПРВЕНСТВУ У ЛЕТОНИЈИ И СРБИЈИ 2019. ГОДИНЕ?,БРОНЗАНУ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.02 Slagalica.mp4
2019.11.03 Slagalica.mp4,,,,
,1,КО ЈЕ РЕЖИРАО ЧУВЕНИ ФИЛМ „ВРТОГЛАВИЦА“ С ЏЕЈМСОМ СТЈУАРТОМ И КИМ НОВАК У ГЛАВНИМ УЛОГАМА?,АЛФРЕД ХИЧКОК,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
,2,КОЈЕ ГОДИНЕ СЕ ДОГОДИО МАРСЕЉСКИ АТЕНТАТ НА КРАЉА АЛЕКСАНДРА КАРАЂОРЂЕВИЋА?,1934. ГОДИНЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
,3,КАКО СЕ ЗОВЕ ОПТИЧКА НАПРАВА КОЈА ОМОГУЋАВА ПОСМАТРАЧУ У ПОДМОРНИЦИ ДА ГЛЕДА ИЗНАД ПОВРШИНЕ BOJE??,ПЕРИСКОП,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
,4,"КАКО СЕ, НА СЛОВО „Ј“, У РУСКОМ ПРАВОСЛАВЉУ НАЗИВАЈУ ПОДВИЖНИЦИ КОЈИ СЕ ОДРИЧУ ЗЕМАЉСКИХ ДОБАРА И ЛУТАЈУ СВЕТОМ?",ЈУРОДИВИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
,5,КОЈИ СРПСКИ РОК БЕНД ЈЕ ИЗДАО АЛБУМЕ „ГРАМЗИВОСТ И ПОХЛЕПА“ И „СЛОБОДА ИЛИ НИШТА“?,ПАРТИБРЕЈКЕРС,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
,6,КОЈА НАРОДНА БАЛАДА ПОЧИЊЕ СТИХОМ „ШТА СЕ БИЈЕЛИ У ГОРИ ЗЕЛЕНОЈ“?,ХАСАНАГИНИЦА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
,7,"КОЈИ ЈЕ ГЛУМАЦ, РОЂЕН 1950. ГОДИНЕ У САРАЈЕВУ, АУТОР МОНОДРАМА „ГЛУМАЦ... ЈЕ ГЛУМАЦ... ЈЕ ГЛУМАЦ“ И „САВАКЕ5 САВАКЕЕ!“?",ЗИЈАХ СОКОЛОВИЋ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
